bomb	2.1	1.19	7.15	2.4	V
lie	2.79	1.92	5.96	2.63	NV
slime	2.68	1.66	5.36	2.63	NV
abuse	1.8	1.23	6.83	2.7	V
riot	2.96	1.93	6.39	2.63	V
bees	3.2	2.07	6.51	2.14	NV
crucify	2.23	1.72	6.47	2.47	V
corpse	2.18	1.48	4.74	2.94	V
hit	4.33	2.35	5.73	2.09	V
noose	3.76	1.64	4.39	2.08	V
panic	3.12	1.84	7.02	2.02	NV
slaughter	1.64	1.18	6.77	2.42	V
maggot	2.06	1.47	5.28	2.96	NV
suffocate	1.56	0.96	6.03	3.19	V
scalding	2.82	2.12	5.95	2.55	V
penalty	2.83	1.56	5.1	2.31	NV
drown	1.92	1.48	6.57	2.33	V
debt	2.22	1.17	5.68	2.74	NV
crude	3.12	1.65	5.07	2.37	NV
delayed	3.07	1.74	5.62	2.39	NV
destruction	3.16	2.44	5.82	2.71	V
mistake	2.86	1.79	5.18	2.42	NV
stress	2.09	1.41	7.45	2.38	NV
ugly	2.43	1.27	5.38	2.23	NV
burn	2.73	1.72	6.22	1.91	V
betray	1.68	1.02	7.24	2.06	NV
lost	2.82	1.83	5.82	2.62	NV
measles	2.74	1.97	5.06	2.44	NV
trouble	3.03	2.09	6.85	2.03	NV
revolver	4.02	2.44	5.55	2.39	V
hostile	2.73	1.5	6.44	2.28	V
burdened	2.5	1.32	5.63	2.07	NV
lice	2.31	1.78	5	2.26	NV
spanking	3.55	2.54	5.41	2.73	V
knife	3.62	2.18	5.8	2	V
pistol	4.2	2.58	6.15	2.19	V
mangle	3.9	2.01	5.44	2.1	V
intruder	2.77	2.32	6.86	2.41	V
crisis	2.74	2.23	5.44	3.07	NV
wounds	2.51	1.58	5.82	2.01	V
flabby	2.66	1.87	4.82	2.81	NV
weapon	3.97	1.92	6.03	1.89	V
rude	2.5	2.11	6.31	2.47	NV
carcass	3.34	1.92	4.83	2.07	V
murderer	1.53	0.96	7.47	2.18	V
bullet	3.29	2.06	5.33	2.48	V
injury	2.49	1.76	5.69	2.06	NV
agony	2.43	2.17	6.06	2.67	V
ache	2.46	1.52	5	2.45	NV
pain	2.13	1.81	6.5	2.49	V
offend	2.76	1.5	5.56	2.06	V
displeased	2.79	2.23	5.64	2.48	NV
useless	2.13	1.42	4.87	2.58	NV
whore	2.3	2.11	5.85	2.93	NV
venom	2.68	1.81	6.08	2.44	NV
quarrel	2.93	2.06	6.29	2.56	V
